registrarname,domains
Hostopia.com Inc. d/b/a Aplus.net (R14-LROR),21407
April Sea Information Technology Corporation (R1913-LROR),21273
REGISTER .IT SPA,21252
Gal Communication (CommuniGal) Ltd. (R41-LROR),21231
PDR Ltd. d/b/a PublicDomainRegistry.com (R2339-PRO),21068
NICCO LTD.,21052
REGISTER NV DBA REGISTER.EU,20755
TONG JI MING LIAN (BEJING) TECHNOLOGY CORPORATION LTD. (TRENAME),20675
"NameCheap, Inc (R600-LRMS)",20643
URL SOLUTIONS INC.,20635
DOMAINNAME HIGHWAY LLC,20589
DOMREG LTD.,20583
ZNET TECHNOLOGIES PVT LTD. D/B/A LEMONREGISTRY.COM,20537
Beijing Innovative Linkage Technology Ltd. dba dns.com.cn,20509
Gransy s.r.o. d/b/a subreg.cz,20505
Online SAS (R99-LROR),20167
"Limited Liability Company ""Registrar of domain names REG.RU""",20085
"PSI-JAPAN, INC.",20004
"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",19917
DOTROLL KFT.,19768
PDR Ltd. d/b/a PublicDomainRegistry.com. (303),19613
Nominalia,19604
EvoPlus Ltd.,19565
"HANGZHOU AIMING NETWORK CO., LTD",19560
"IHS Telekom, Inc.",19515
Alpnames Limited,19494
"Wild West Domains, LLC (440)",19441
INTERNET NAYANA INC.,19336
TLD Registrar Solutions Ltd.,19307
ECHODOMAIN LLC,19233
WEB4AFRICA INC,19203
"MYMANAGER, INC.",19162
"WEBAIR INTERNET DEVELOPMENT, INC.",19010
"ALFENA, LLC",18851
NetArt Sp z o.o,18825
REGISTRARDIRECT LLC,18755
DOMAIN CENTRAL AUSTRALIA PTY LTD.,18720
Gabia Inc.,18643
Registrar of Domain Names REG.RU LLC (R1943-LROR),18554
ATAK DOMAIN HOSTING INTERNET VE BILGI TEKNOLOJILERI LIMITED SIRKETI D/B/A ATAK TEKNOLOJI,18524
INTERNET GROUP DO BRASIL S/A,18495
HKIDC INTERNATIONAL LIMITED,18385
EPAG Domainservices GmbH (R133-LRMS),18383
OVH (R2367-PRO),18381
Cloud Group Limited (R123-LROR),18294
Gabia Inc. (R84-LROR),18237
