registrarname,domains
TLDS L.L.C. d/b/a SRSPlus,22801
"Acens Technologies, S.L.U.",22762
TPP DOMAINS PTY LTD. DBA TPP INTERNET,22674
"Netowl, Inc. (R1897-LROR)",22612
Beijing Innovative Linkage Technology Ltd. dba dns.com.cn (633),22465
"Corehub, S.R.L",22456
"Deluxe Small Business Sales, Inc. d/b/a Aplus.net",22399
PREMIERENAME.CA INC.,22386
NETIM SARL,22331
VARIOMEDIA AG DBA PUREDOMAIN.COM,22119
US Registrar L.L.C.,22085
"Shanghai Meicheng Technology Information Development Co., Ltd.",21885
"Chengdu West Dimension Digital Technology Co., Ltd. (R1898-LROR)",21717
Hostopia.com Inc. d/b/a Aplus.net (R14-LROR),21407
Mijndomein.nl BV,21358
April Sea Information Technology Corporation (R1913-LROR),21273
REGISTER .IT SPA,21252
Gal Communication (CommuniGal) Ltd. (R41-LROR),21231
PDR Ltd. d/b/a PublicDomainRegistry.com (R2339-PRO),21068
NICCO LTD.,21052
Nominalia,20798
