tld,Sunrise (Start/End Date Sunrise),open,close
IBM,Spec 13 - .BRAND TLD,,
one,End Date Sunrise,4-Mar-15,5-May-15
ren,End Date Sunrise,1-Jul-14,30-Aug-14
MARRIOTT,Spec 13 - .BRAND TLD,,
casino,End Date Sunrise,24-Mar-15,23-May-15
football,End Date Sunrise,24-Mar-15,23-May-15
school,End Date Sunrise,24-Mar-15,23-May-15
VOTE,Start Date Sunrise,13-Jan-15,12-Feb-15
nrw,End Date Sunrise,16-Dec-14,14-Feb-15
VOTO,Start Date Sunrise,13-Jan-15,12-Feb-15
green,End Date Sunrise,8-Dec-14,6-Feb-15
energy,End Date Sunrise,2-Dec-14,31-Jan-15
delivery,End Date Sunrise,2-Dec-14,31-Jan-15
tires,End Date Sunrise,20-Jan-15,21-Mar-15
tennis,End Date Sunrise,10-Mar-15,9-May-15
chat,End Date Sunrise,10-Mar-15,9-May-15
LGBT,Start Date Sunrise,5-Jan-15,4-Feb-15
style,End Date Sunrise,10-Mar-15,9-May-15
bingo,End Date Sunrise,10-Mar-15,9-May-15
apartments,End Date Sunrise,17-Mar-15,16-May-15
coach,End Date Sunrise,30-Dec-14,28-Feb-15
memorial,End Date Sunrise,30-Dec-14,28-Feb-15
money,End Date Sunrise,30-Dec-14,28-Feb-15
FRL,Start Date Sunrise,1-Jan-15,1-Feb-15
legal,End Date Sunrise,30-Dec-14,28-Feb-15
CARTIER,Spec 13 - .BRAND TLD,,
IWC,Spec 13 - .BRAND TLD,,
scb,Spec 13 - .BRAND TLD,,
college,Start Date Sunrise,17-Mar-15,17-Apr-15
saxo,Spec 13 - .BRAND TLD,,
barclays,Spec 13 - .BRAND TLD,,
barclaycard,Spec 13 - .BRAND TLD,,
whoswho,Start Date Sunrise,17-Nov-14,17-Dec-14
LIDL,Spec 13 - .BRAND TLD,,
SCHWARZ,Spec 13 - .BRAND TLD,,
BLACK,Start Date Sunrise,22-Jul-14,21-Aug-14
RED,Start Date Sunrise,11-Mar-14,11-Apr-14
xn--mgbab2bd,End Date Sunrise,26-Aug-14,28-Oct-14
PINK,Start Date Sunrise,11-Mar-14,11-Apr-14
ORGANIC,Start Date Sunrise,6-Aug-14,5-Sep-14
doosan,End Date Sunrise,12-Jan-15,15-Mar-15
SHIKSHA,Start Date Sunrise,11-Mar-14,11-Apr-14
KIM,Start Date Sunrise,11-Mar-14,11-Apr-14
xn--6frz82g,Start Date Sunrise,14-Mar-14,13-Apr-14
BLUE,Start Date Sunrise,14-Mar-14,13-Apr-14
gal,End Date Sunrise,16-Sep-14,18-Nov-14
eus,End Date Sunrise,16-Sep-14,18-Nov-14
design,End Date Sunrise,24-Feb-15,28-Apr-15
bzh,End Date Sunrise,4-Sep-14,3-Nov-14
quebec,End Date Sunrise,2-Sep-14,11-Nov-14
